id,rate,Signed Surprise
1001,26.6,-0.017322760281543365
1003,31.9,-0.0007883386996536747
1005,11.6,-0.05874092400743427
1007,10.4,-0.06168194799333503
1009,13.1,-0.054982815979688765
1011,12.1,-0.05749825177873958
1013,16.1,-0.047200179964623064
1015,18.5,-0.04072532092141857
1017,13.3,-0.05447494803968236
1019,12.8,-0.05574163854461089
1021,12.7,-0.05599378293947734
1023,11.9,-0.05799653034691506
1025,12.2,-0.057248509170526
1027,10.6,-0.061195860845239945
1029,15.4,-0.04904741266184239
1031,22.8,-0.028592073589012446
1033,18.1,-0.04181951740213328
1035,12.8,-0.05574163854461089
1037,12.8,-0.05574163854461089
1039,15.3,-0.04930976229360519
1041,17.4,-0.04371994600992465
1043,13.9,-0.052941853294024614
1045,18.1,-0.04181951740213328
1047,14.7,-0.050875725649957106
1049,13.0,-0.05523615457178259
1051,25.1,-0.021831003324498523
1053,12.5,-0.05649687407226172
1055,17.8,-0.04263623944808697
1057,12.4,-0.05674781981694577
1059,14.0,-0.05268495850016908
1061,12.5,-0.05649687407226172
1063,10.1,-0.06240799653040821
1065,14.2,-0.05216999124383429
1067,17.1,-0.04452876839949887
1069,21.7,-0.031759607132395166
1071,14.0,-0.05268495850016908
1073,33.4,0.004007123203590405
1075,11.9,-0.05799653034691506
1077,23.5,-0.026553997712472674
1079,12.6,-0.05624552828069421
1081,35.3,0.009978533288919912
1083,25.7,-0.020036973568285425
1085,14.7,-0.050875725649957106
1087,20.4,-0.035447016318373506
1089,42.8,0.03235630416758789
1091,16.1,-0.047200179964623064
1093,12.8,-0.05574163854461089
1095,19.4,-0.03824164388470402
1097,23.2,-0.027429577802073887
1099,13.5,-0.053965495685188644
1101,33.4,0.004007123203590405
1103,22.4,-0.02974889585083812
1105,22.8,-0.028592073589012446
1107,14.1,-0.05242767099037619
1109,23.7,-0.025968517622788734
1111,16.5,-0.04613618467820464
1113,17.8,-0.04263623944808697
1115,16.1,-0.047200179964623064
1117,42.9,0.03264136483324133
1119,21.6,-0.03204541899631827
1121,15.0,-0.05009448986765052
1123,18.4,-0.04099942949856268
1125,30.7,-0.004613025047423713
